,idx,CULTURE
0,00000,1.0
1,00001,1.0
2,00002,
3,00003,
4,00004,
5,00005,
6,00006,
7,00007,
8,00008,
9,00009,
10,00010,
11,00011,
12,00012,
13,00013,
14,00014,
15,00015,
16,00016,
17,00017,
18,00018,
19,00019,
20,00020,
21,00021,
22,00022,
23,00023,
24,00024,
25,00025,
26,00026,
27,00027,
28,00028,
29,00029,
30,00030,
31,00031,
32,00032,
33,00033,
34,00034,
35,00035,
36,00036,
37,00037,
38,00038,
39,00039,
40,00040,
41,00041,
42,00042,
43,00043,
44,00044,
45,00045,
46,00046,
47,00047,
48,00048,1.0
49,00049,0.0
50,00050,1.0
51,00051,0.0
52,00052,1.0
53,00053,1.0
54,00054,1.0
55,00055,1.0
56,00056,1.0
57,00057,1.0
58,00058,1.0
59,00059,1.0
60,00060,1.0
61,00061,1.0
62,00062,0.0
63,00063,0.0
64,00064,1.0
65,00065,1.0
66,00066,1.0
67,00067,1.0
68,00068,1.0
69,00069,1.0
70,00070,1.0
71,00071,1.0
72,00072,1.0
73,00073,1.0
74,00074,1.0
75,00075,1.0
76,00076,1.0
77,00077,1.0
78,00078,1.0
79,00079,1.0
80,00080,1.0
81,00081,1.0
82,00082,1.0
83,00083,1.0
84,00084,1.0
85,00085,1.0
86,00086,1.0
87,00087,1.0
88,00088,1.0
89,00089,1.0
90,00090,1.0
91,00091,1.0
92,00092,1.0
93,00093,1.0
94,00094,1.0
95,00095,
96,00096,
97,00097,
98,00098,
99,00099,
100,00100,
101,00101,
102,00102,
103,00103,
104,00104,
105,00105,
106,00106,
107,00107,
108,00108,
109,00109,
110,00110,
111,00111,
112,00112,
113,00113,
114,00114,
115,00115,
116,00116,
117,00117,
118,00118,
119,00119,
120,00120,
121,00121,
122,00122,
123,00123,
124,00124,
125,00125,
126,00126,
127,00127,
128,00128,
129,00129,
130,00130,
131,00131,
132,00132,
133,00133,
134,00134,
135,00135,
136,00136,
137,00137,
138,00138,
139,00139,
140,00140,
141,00141,
142,00142,
143,00143,
144,00144,
145,00145,
146,00146,
147,00147,
148,00148,
149,00149,
150,00150,
151,00151,
152,00152,
153,00153,
154,00154,
155,00155,
156,00156,
157,00157,
158,00158,
159,00159,
160,00160,
161,00161,
162,00162,
163,00163,
164,00164,
165,00165,
166,00166,
167,00167,
168,00168,
169,00169,
170,00170,
171,00171,
172,00172,
173,00173,
174,00174,
175,00175,
176,00176,
177,00177,
178,00178,
179,00179,
180,00180,
181,00181,
182,00182,
183,00183,
184,00184,
185,00185,
186,00186,
187,00187,
188,00188,
189,00189,
190,00190,
191,00191,
192,00192,
193,00193,
194,00194,
195,00195,
196,00196,
197,00197,
198,00198,
199,00199,
200,00200,
201,00201,
202,00202,
203,00203,
204,00204,
205,00205,
206,00206,
207,00207,
208,00208,
209,00209,
210,00210,
211,00211,
212,00212,
213,00213,
214,00214,
215,00215,
216,00216,
217,00217,
218,00218,
219,00219,
220,00220,
221,00221,
222,00222,
223,00223,
224,00224,
225,00225,
226,00226,
227,00227,
228,00228,
229,00229,
230,00230,
231,00231,
232,00232,
233,00233,
234,00234,
235,00235,
236,00236,
237,00237,
238,00238,
239,00239,
240,00240,
241,00241,
242,00242,
243,00243,
244,00244,
245,00245,
246,00246,
247,00247,
248,00248,
249,00249,
250,00250,
251,00251,
252,00252,
253,00253,
254,00254,
255,00255,
256,00256,
257,00257,
258,00258,
259,00259,
260,00260,
261,00261,
262,00262,
263,00263,
264,00264,
265,00265,
266,00266,
267,00267,
268,00268,
269,00269,
270,00270,
271,00271,
272,00272,
273,00273,
274,00274,
275,00275,
276,00276,
277,00277,
278,00278,
279,00279,
280,00280,
281,00281,
282,00282,
283,00283,
284,00284,
285,00285,
286,00286,
287,00287,
288,00288,
289,00289,
290,00290,
291,00291,
292,00292,
293,00293,
294,00294,
295,00295,
296,00296,
297,00297,
298,00298,
299,00299,
300,00300,
301,00301,
302,00302,
303,00303,
304,00304,
305,00305,
306,00306,
307,00307,
308,00308,
309,00309,
310,00310,
311,00311,
312,00312,
313,00313,
314,00314,
315,00315,
316,00316,
317,00317,
318,00318,
319,00319,
320,00320,
321,00321,
322,00322,
323,00323,
324,00324,
325,00325,
326,00326,
327,00327,
328,00328,
329,00329,
330,00330,
331,00331,
332,00332,
333,00333,
334,00334,
335,00335,
336,00336,
337,00337,
338,00338,
339,00339,
340,00340,
341,00341,
342,00342,
343,00343,
344,00344,
345,00345,
346,00346,
347,00347,
348,00348,
349,00349,
350,00350,
351,00351,
352,00352,
353,00353,
354,00354,
355,00355,
356,00356,
357,00357,
358,00358,
359,00359,
360,00360,
361,00361,
362,00362,
363,00363,
364,00364,
365,00365,0.0
366,00366,
367,00367,0.0
368,00368,
369,00369,
370,00370,0.0
371,00371,
372,00372,
373,00373,
374,00374,
375,00375,
376,00376,
377,00377,0.0
378,00378,
379,00379,0.0
380,00380,
381,00381,0.0
382,00382,
383,00383,
384,00384,
385,00385,1.0
386,00386,0.0
387,00387,1.0
388,00388,1.0
389,00389,1.0
390,00390,1.0
391,00391,1.0
392,00392,1.0
393,00393,0.0
394,00394,1.0
395,00395,1.0
396,00396,1.0
397,00397,1.0
398,00398,1.0
399,00399,1.0
400,00400,1.0
401,00401,1.0
402,00402,1.0
403,00403,1.0
404,00404,1.0
405,00405,1.0
406,00406,1.0
407,00407,1.0
408,00408,1.0
409,00409,1.0
410,00410,1.0
411,00411,1.0
412,00412,1.0
413,00413,1.0
414,00414,1.0
415,00415,1.0
416,00416,1.0
417,00417,1.0
418,00418,1.0
419,00419,1.0
420,00420,1.0
421,00421,1.0
422,00422,1.0
423,00423,1.0
424,00424,1.0
425,00425,1.0
426,00426,1.0
427,00427,1.0
428,00428,1.0
429,00429,1.0
430,00430,1.0
431,00431,1.0
432,00432,1.0
433,00433,1.0
434,00434,1.0
435,00435,1.0
436,00436,1.0
437,00437,1.0
438,00438,1.0
439,00439,1.0
440,00440,1.0
441,00441,1.0
442,00442,1.0
443,00443,1.0
444,00444,1.0
445,00445,1.0
446,00446,1.0
447,00447,1.0
448,00448,1.0
449,00449,1.0
450,00450,1.0
451,00451,1.0
452,00452,1.0
453,00453,1.0
454,00454,1.0
455,00455,1.0
456,00456,1.0
457,00457,1.0
458,00458,1.0
459,00459,1.0
460,00460,1.0
461,00461,1.0
462,00462,1.0
463,00463,1.0
464,00464,1.0
465,00465,1.0
466,00466,1.0
467,00467,1.0
468,00468,1.0
469,00469,1.0
470,00470,1.0
471,00471,1.0
472,00472,1.0
473,00473,1.0
474,00474,1.0
475,00475,1.0
476,00476,1.0
477,00477,1.0
478,00478,1.0
479,00479,1.0
480,00480,1.0
481,00481,1.0
482,00482,1.0
483,00483,1.0
484,00484,1.0
485,00485,1.0
486,00486,1.0
487,00487,1.0
488,00488,1.0
489,00489,1.0
490,00490,1.0
491,00491,1.0
492,00492,1.0
493,00493,1.0
494,00494,1.0
495,00495,1.0
496,00496,1.0
497,00497,1.0
498,00498,1.0
499,00499,1.0
500,00500,1.0
501,00501,1.0
502,00502,1.0
503,00503,1.0
504,00504,1.0
505,00505,1.0
506,00506,1.0
507,00507,1.0
508,00508,1.0
509,00509,1.0
510,00510,1.0
511,00511,1.0
512,00512,1.0
513,00513,1.0
514,00514,1.0
515,00515,1.0
516,00516,1.0
517,00517,1.0
518,00518,1.0
519,00519,1.0
520,00520,1.0
521,00521,1.0
522,00522,1.0
523,00523,1.0
524,00524,1.0
525,00525,1.0
526,00526,1.0
527,00527,1.0
528,00528,1.0
529,00529,1.0
530,00530,1.0
531,00531,1.0
532,00532,1.0
533,00533,1.0
534,00534,1.0
535,00535,1.0
536,00536,1.0
537,00537,1.0
538,00538,1.0
539,00539,1.0
540,00540,1.0
541,00541,1.0
542,00542,1.0
543,00543,1.0
544,00544,1.0
545,00545,1.0
546,00546,1.0
547,00547,1.0
548,00548,1.0
549,00549,1.0
550,00550,1.0
551,00551,1.0
552,00552,1.0
553,00553,1.0
554,00554,1.0
555,00555,1.0
556,00556,1.0
557,00557,0.0
558,00558,0.0
559,00559,0.0
560,00560,0.0
561,00561,0.0
562,00562,1.0
563,00563,1.0
564,00564,1.0
565,00565,1.0
566,00566,1.0
567,00567,1.0
568,00568,1.0
569,00569,1.0
570,00570,1.0
571,00571,1.0
572,00572,
573,00573,
574,00574,
575,00575,
576,00576,
577,00577,
578,00578,
579,00579,
580,00580,
581,00581,
582,00582,
583,00583,
584,00584,
585,00585,
586,00586,
587,00587,
588,00588,
589,00589,
590,00590,
591,00591,
592,00592,
593,00593,
594,00594,
595,00595,
596,00596,
597,00597,
598,00598,
599,00599,
600,00600,
601,00601,
602,00602,
603,00603,
604,00604,
605,00605,
606,00606,
607,00607,
608,00608,
609,00609,
610,00610,
611,00611,0.0
612,00612,
613,00613,
614,00614,
615,00615,
616,00616,
617,00617,
618,00618,0.0
619,00619,
620,00620,
621,00621,
622,00622,
623,00623,
624,00624,
625,00625,
626,00626,
627,00627,
628,00628,
629,00629,
630,00630,
631,00631,
632,00632,
633,00633,
634,00634,
635,00635,
636,00636,
637,00637,
638,00638,
639,00639,
640,00640,
641,00641,
642,00642,
643,00643,
644,00644,
645,00645,
646,00646,
647,00647,
648,00648,
649,00649,
650,00650,
651,00651,
652,00652,
653,00653,
654,00654,
655,00655,
656,00656,
657,00657,
658,00658,
659,00659,
660,00660,
661,00661,
662,00662,
663,00663,
664,00664,
665,00665,
666,00666,
667,00667,
668,00668,
669,00669,
670,00670,
671,00671,
672,00672,
673,00673,
674,00674,
675,00675,
676,00676,
677,00677,
678,00678,
679,00679,
680,00680,
681,00681,
682,00682,
683,00683,
684,00684,
685,00685,
686,00686,
687,00687,
688,00688,
689,00689,
690,00690,
691,00691,
692,00692,
693,00693,
694,00694,
695,00695,
696,00696,
697,00697,
698,00698,
699,00699,
700,00700,
701,00701,
702,00702,
703,00703,
704,00704,
705,00705,
706,00706,
707,00707,
708,00708,
709,00709,
710,00710,
711,00711,
712,00712,
713,00713,
714,00714,
715,00715,
716,00716,
717,00717,
718,00718,
719,00719,
720,00720,
721,00721,
722,00722,
723,00723,
724,00724,
725,00725,
726,00726,
727,00727,
728,00728,
729,00729,
730,00730,
731,00731,
732,00732,
733,00733,
734,00734,
735,00735,
736,00736,
737,00737,
738,00738,
739,00739,
740,00740,
741,00741,
742,00742,
743,00743,
744,00744,
745,00745,
746,00746,
747,00747,
748,00748,
749,00749,
750,00750,
751,00751,
752,00752,
753,00753,
754,00754,
755,00755,
756,00756,
757,00757,
758,00758,
759,00759,
760,00760,
761,00761,
762,00762,
763,00763,
764,00764,
765,00765,
766,00766,
767,00767,
768,00768,
769,00769,
770,00770,
771,00771,
772,00772,
773,00773,
774,00774,
775,00775,
776,00776,1.0
777,00777,
778,00778,
779,00779,
780,00780,
781,00781,
782,00782,
783,00783,
784,00784,
785,00785,
786,00786,
787,00787,
788,00788,
789,00789,
790,00790,1.0
791,00791,
792,00792,
793,00793,
794,00794,
795,00795,
796,00796,
797,00797,
798,00798,
799,00799,
800,00800,
801,00801,
802,00802,
803,00803,1.0
804,00804,
805,00805,
806,00806,
807,00807,
808,00808,
809,00809,
810,00810,
811,00811,
812,00812,
813,00813,
814,00814,
815,00815,
816,00816,
817,00817,1.0
818,00818,
819,00819,
820,00820,1.0
821,00821,
822,00822,
823,00823,
824,00824,
825,00825,
826,00826,1.0
827,00827,
